,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,rating
189,"Cognira
4.3",Junior Data Scientist,Lille,"About us:
At Cognira, we strongly believe that people are the biggest asset of our company.
Our hand-picked team consists of passionate, collaborative, and forward-thinking individuals from all over the globe.
Our industry-leading PromoAI Solution leverages data science and AI to effectively manage the entire end-to-end promotion lifecycle in a single tool, allowing retailers to effectively plan, optimize, and analyze all types of promotions.
For the last three years in a row, Cognira has been recognized as one of the fastest-growing companies in North America. We are proud to have a growing team of domain experts and data scientists, as well as a culture that fosters strong and long-lasting relationships with our clients.",€45K - €55K (Employer est.),51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2015,Unknown / Non-Applicable,4.3
190,"CS GROUP
3.6",Chef de projet / Coordinateur Data Science - F/H,Toulouse,"Description de l'entreprise

La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L’expertise reconnue du groupe lui permet d’intervenir là où les enjeux sont les plus critiques : aéronautique, défense, énergie, spatial. Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité…
Notre esprit Tech et pragmatique, ainsi que notre agilité d’ETI nous permettent d’allier proximité, engagement et innovation, pour diffuser notre culture à tous les niveaux : dans la relation client, dans le mode de management interne, dans notre engagement social et environnemental…
Et bien sûr, dans le développement de votre carrière, notre ambition est de faire de vous un collaborateur accompli : formations, revue de carrière, mobilité, programme ambassadeur…",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,1968,$100 to $500 million (USD),3.6
191,"FED Finance
4.0",DATA ANALYST,France,"FED FINANCE, cabinet de recrutement spécialisé recherche pour une banque privée de renom un : DATA ANALYST H/F
Votre fonction
Rattaché au Responsable de service, vos principales missions seront les suivantes :
extraction et recueil des données pertinentes;
traitement et analyse des données;
mise en place des tableaux de bord pour les différentes équipes ;
recommandations aux Managers;
gestion et mise à jour des outils d'analyse...",€45K - €55K (Employer est.),201 to 500 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2010,$25 to $100 million (USD),4.0
192,"Damart
3.8",Data analyst senior - H/F,Roubaix,"Né en 1953 d'une innovation - l'iconique Thermolactyl - Damart, est une grande marque patrimoniale française, l'une des rares à être entrée dans le langage commun: ""il fait froid, mets ton Damart!"". Notre leadership sur le marché des séniors, en plein essor, est fondé sur une double expertise: le textile intelligent, source de bien-être pour toute les générations et le prêt-à-porter, dédié aux femmes de 55 ans et plus qui recherchent le style et le confort.
Pour séduire les nouvelles générations et conquérir nos clients de demain, nos 1000 collaborateurs en France réinventent chaque jour Damart et accélèrent sa transformation: innovation textile, nouveau style et nouvelle image, transition digitale pour une shopping expérience omnicanale, conquête de nouveaux marchés à l'international ...
Implantée en France, Belgique, Angleterre et Suisse, Damart poursuit aujourd'hui son développement à l'international: Après le Japon et les USA, la marque s'implante en Espagne, Italie, Australie, Liban, Chypre...",€45K - €55K (Employer est.),501 to 1000 Employees,Unknown,Manufacturing,Consumer Product Manufacturing,-1,$100 to $500 million (USD),3.8
193,"Inetum
3.4",Data Analyst SAS / Hadoop H/F,Brest,"Mission
En recherche d’un nouveau challenge en tant que Data Analyst Sas / Hadoop ?

Au sein d’une équipe Inetum, vous intervenez chez un client reconnu dans le domaine bancaire à Brest, sur des projets structurants.
La mission consiste à:
La création de requêtes SAS ou Hadoop pour les différents services du client,
L’extraction réalisée directement sur le host de production afin d’obtenir les données les plus récentes possibles,",€45K - €55K (Employer est.),10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,1970,$1 to $5 billion (USD),3.4
194,"Numberly
4.1",Data Scientist,Paris,"Company Description

Numberly puts technology to work for brands and is at the heart of business growth and consumers' desire for more responsible and relevant marketing: we help our clients better understand their consumers by building systems to collect, analyse and activate data.
To do this, we are over 500 talents divided into autonomous teams.
We aspire to have everyone develop a positive influence, be proactive, and challenge our technical and organisational choices.

Job Description

We are looking for a data scientist to work on innovative projects in the field of digital marketing.",€45K - €55K (Employer est.),201 to 500 Employees,Company - Public,Media & Communication,Advertising & Public Relations,2000,$25 to $100 million (USD),4.1
195,"LIMAGRAIN EUROPE SAS
4.1",Analyste de données en sélection Maïs (H/F),Ennezat,"Famille de métier
RECHERCHE ET INNOVATION - SELECTION VARIETALE
Type de contrat
CDD
Durée du contrat
12 mois
Temps de travail",€45K - €55K (Employer est.),5001 to 10000 Employees,Company - Private,Agriculture,Crop Production,1965,$1 to $5 billion (USD),4.1
196,"TotalEnergies
3.9",Data Scientist ML,Paris,"Systèmes d'Information
PARIS-RUE DES JEÛNEURS(FRA)
France
Description du poste
TotalEnergies a décidé d'accélérer la production interne de solutions digitales pour ses activités en créant une « Digital Factory ».
La « Digital Factory » TotalEnergies allie l'agilité et l'esprit pionnier d'une entreprise technologique à la robustesse et à la rigueur d'une entité de production à grande échelle.
Nous créons et déployons des solutions digitales sur l'ensemble des sites de la Compagnie TotalEnergies afin de fournir une énergie propre, fiable et abordable au plus grand nombre.",€45K - €55K (Employer est.),10000+ Employees,Company - Public,"Energy, Mining & Utilities",Energy & Utilities,1924,$25 to $100 million (USD),3.9
197,ALEIA,Data scientist,Paris,"Passionné par le traitement de données et l’intelligence artificielle, tu participeras au développement de traitements de données et/ou de nouveaux algorithmes ou solutions permettant aux clients d’avoir les informations pour prendre des décisions, pour développer ou enrichir leurs applications d’intelligence artificielle.
Tu as également en charge de définir et de contribuer à choisir les meilleures technologies et les meilleurs algorithmes pour les traitements de données nécessaires, dont en particulier le machine/ deep learning.
Enfin tu contribues à intégrer ces solutions dans nos produits avec le meilleur niveau de fiabilité.
Dans ce cadre tu travailleras en étroite collaboration avec des développeurs et DevOps, au sein de projets agiles, pour que les produits soient le plus performants et attrayants pour les utilisateurs.
Tes responsabilités consisteront notamment à :",€45K - €55K (Employer est.),-1,-1,-1,-1,-1,-1,-1
198,"Française des Jeux
4.2",Data Analyst F/H,Boulogne-Billancourt,"Contrat
Contrat à durée indéterminée (CDI)
Lieu
Boulogne-Billancourt (92)
Votre mission principale
Dans le cadre de l’amélioration du programme de détection, prévention et traitement de la fraude interne au sein du groupe FDJ, la DARCQE (Direction de l’Audit, Risques, Contrôles, Qualité et Ethique) recherche un/e Data Analyst Confirmé/e en CDI pour renforcer son équipe Data Analytics & Forensics composée de 3 personnes.",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,"Arts, Entertainment & Recreation",Gambling,1933,$1 to $5 billion (USD),4.2
199,"MAIF
3.9",Data Scientist - Computer Vision - NIORT ou PARIS H/F,Paris,"Intitulé du poste
Data Scientist - Computer Vision - NIORT ou PARIS H/F
Type de contrat
Contrat à durée indéterminée
Temps de travail
Plein temps
Description",€45K - €55K (Employer est.),5001 to 10000 Employees,Company - Private,Insurance,Insurance Carriers,1934,$1 to $5 billion (USD),3.9
200,"Inetum
3.4",Data Analyst Industrie 4.0 H/F,Toulouse,"Mission
Notre équipe Data accompagne essentiellement des industriels et des grands comptes dans la collecte, le traitement et la valorisation de leurs données usine en France et en Europe.
A ce titre votre poste consistera à :
Piloter la gestion, la gouvernance et la généalogie des données de production
Participer à l'enrichissement de l'entrepôt de données
Contribuer à l’extraction, au raffinage et à la qualification des données pour les besoins statistiques ou analytiques,
Développer et Améliorer les algorithmes d’analyse et de traitement de données,",€45K - €55K (Employer est.),10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,1970,$1 to $5 billion (USD),3.4
201,"TOYOTA MATERIAL HANDLING FRANCE
2.5",Data Analyst CRM,Bussy-Saint-Georges,"Toyota Material Handling France, filiale du groupe TMHE (Toyota Material Handling Europe), constructeur de chariots élévateurs et spécialiste de la manutention interne depuis 1946, propose une gamme étendue de produits ainsi que des services performants, qui permettent de répondre à tous types de demande.
L’entreprise et ses 1000 collaborateurs répartis sur l'ensemble du territoire partagent des valeurs fortes qui favorisent le travail d’équipe, l’amélioration continue, la recherche de solutions consensuelles, le respect et le challenge.
Dans le cadre d’un remplacement, nous recherchons un Data Analyst CRM F /H localisé au siège de Bussy Saint Georges.
Rattaché(e) à la Direction Marketing et plus précisément au service Développement et Connaissance Client, vous administrez et assurez le fonctionnement et l’exploitation des bases de données utilisées par la Direction Commerciale. Vous êtes garant de l’intégrité, la mise à disposition et la fiabilité des bases de données notamment celles provenant du CRM. Véritable référent sur ces sujets, vous travaillez de façon transverse au développement de la culture « data » dans l’entreprise et aux opportunités business qu’elle offre.",€45K - €55K (Employer est.),201 to 500 Employees,Company - Private,"Construction, Repair & Maintenance Services",Commercial Equipment Services,1967,Unknown / Non-Applicable,2.5
202,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,"Le GIP Innovation e-Santé Sud (ieSS) est un Groupement Régional d’Appui au Développement de la e-Santé (GRADeS).
ieSS agit pour la réussite du déploiement des politiques nationales et régionales de la e-santé en région PACA.
Plate-forme servicielle e-santé de proximité régionale, ieSS a engagé une dynamique de transformation de service auprès de ses membres clients en veillant à :
Proposer des services permettant de concilier l'efficience, la qualité des soins et la satisfaction des professionnels et usagers ;
Contribuer à l amélioration de l offre et de la coordination de soins et à élargir le champ du parcours de soins (prévention, information, soins, accompagnement) ;
Améliorer la prévention et le suivi des patients par l exploitation des données collectées ;",€45K - €55K (Employer est.),-1,-1,-1,-1,-1,-1,-1
203,"Insitoo
5.0",Data Analyst Junior (H/F),Lille,"Basée à Lille, Lyon, Nantes, Grenoble et Bruxelles, Insitoo Freelances est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, Insitoo Freelances a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux besoins de nos clients, nous recherchons un Data Analyst Junior (H/F) à Lille, Hauts-de-France, France.
Le poste est à pourvoir dans le service RUN SI Data de la DSI Corporate, plus particulièrement pour renforcer l’équipe en charge du RUN des plateformes Big Data basées sur Google Cloud.
Les missions attendues par le Data Analyst Junior (H/F) sont :
Assurer le bon fonctionnement des applications et des solutions en production (gestion, support, …)
Participer à la mise en place de sondes et à leur supervision",€45K - €55K (Employer est.),1 to 50 Employees,Company - Private,Human Resources & Staffing,Staffing & Subcontracting,2007,$25 to $100 million (USD),5.0
204,Licorne Society,Data Analyst - startups,Paris,"Licorne Society est à la recherche de Data Analyst pour des startups innovantes, ne laisse pas passer ta chance !

C’est quoi Licorne Society ?

Licorne Society est le seul outil qui te met en relation avec plus de 3000 startups recrutant en France, tous secteurs et métiers confondus. Qu’elles soient en création ou en phase d’hypercroissance, toutes les startups t’attendent sur Licorne Society. Ah oui, et c’est gratuit !
Notre promesse : faire matcher ta recherche avec les meilleures opportunités et mettre en avant ton profil auprès des startups qui recrutent.

>> www.licornesociety.com <<

L'inscription prend moins de 10 minutes. Tu pourras alors accéder à l'ensemble des offres en startup du marché et être contacté directement par les recruteurs :

1 - Remplis ton profil et tes attentes.
2 - Passe en revue les offres que nous te proposons en fonction de tes critères de recherche et reçois une notification à chaque nouvelle offre publiée. Avec notre mode Tinder, tu n’as qu’à swiper les offres. Matcher avec le job de tes rêves n’a jamais été aussi simple !
3 - Reçois des sollicitations directes pour des postes de Data Analyst au sein de nos startups préférées (pour ne citer que BackMarket, PlayPlay, Payfit, Trustpair ou encore Choco)

Profil recherché :

Les parcours particulièrement valorisés chez Licorne Society :

On se dit à tout de suite sur la plateforme ?
>> www.licornesociety.com <<",€45K - €55K (Employer est.),1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable,-1
205,"AUSY
3.3",Data Analyst,Wasquehal,"Notre agence Lilloise rayonne sur toute la région des Hauts de France avec une équipe dynamique, à taille humaine qui, partage des valeurs d’esprit d’entreprise, de confiance, d’agilité et d’esprit d’équipe. Nos 90 collaborateurs sont présents sur tous les domaines d’expertise du Groupe: technologie de l’information , infrastructure et Data.

Envie de booster votre carrière ? Rejoignez la team Ausy-Lille pour une aventure enrichissante!

Vos missions

Intégré(e) au cœur des équipes Data de nos clients, votre principale mission consiste à extraire, analyser et interpréter des grandes quantités de données afin d'orienter les futurs actions et la performance des métiers.

À ce titre, vous serez en charge :
Vos compétences

De formation supérieure en informatique (bac+5), vous justifiez d’une expérience réussie de 3 à 5 ans en tant que Data Analyst ou d'une expérience similaire.



Avantages

Parce que la Ausy touch’ c’est d’être au plus proches de nos collaborateurs. Vous pourrez bénéficier de plusieurs avantages : Une réelle proximité avec nos équipes avec une collaboration permanente entre nos chefs de projets/manager/rh/ pour vous accompagner et vous orienter dans une carrière personnalisée.",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,Management & Consulting,Business Consulting,1989,$100 to $500 million (USD),3.3
206,"CGI FINANCE
3.5",Data Scientist H/F,France,"Au sein de l’équipe Etudes & Stratégies, nous recherchons actuellement un(e) Data Scientist qui aura pour principales missions de :
Créer, calibrer et backtester des modèles prédictifs dans les différentes sphères d’activité de l’entreprise et notamment la gestion des risques (score d’octroi, fraude, etc.) mais aussi marketing (fidélisation, parcours client, etc.)
Tester dans ce cadre l’apport des méthodologies alternatives de type Machine Learning (benchmark avec les méthodologies classiques, interprétabilité, etc.)
Accompagner les utilisateurs de ces modèles dans l’identification du besoin, la compréhension et l’appropriation des solutions proposées
Participer à l’intégration des modèles dans les outils existants (études d’impact, simulations, etc.)
Documenter les modèles et participer aux travaux de validation auprès des instances de supervision",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,Financial Services,Banking & Lending,1951,$1 to $5 billion (USD),3.5
207,"Le Groupe La Poste
3.6",Data Analyst Export,Paris,"La Poste Groupe change, nos métiers évoluent.
Etre toujours au plus près des Français, développer la confiance dans le numérique et être acteur de la transformation écologique, c'est aussi le sens de notre métier.
Chaque jour, sur l'ensemble du territoire, nos 250 000 collaborateurs imaginent les services de demain.
Rejoindre La Poste Groupe, c'est rejoindre une entreprise responsable !
Vous aussi, engagez-vous à nos côtés pour donner du sens à votre métier.

Pour accompagner la croissance du e-Commerce à l’international, la Direction des Opérations Internationales (DOI) a pour mission d’améliorer l’expérience client et la compétitivité des offres.Au sein de la DOI, vous avez en charge les outils de pilotage de la supply chain, proposez et mettez en œuvre les outils d’aide à la décision : Organiser et piloter les échanges de données : Pilote les échanges de données entre les parties prenantes : centres opérationnels, opérateurs de transport et postes étrangèresEst moteur sur le développement d’outil de supervision métier notamment sur l’absence de transmission d’informationAnalyse les dysfonctionnements en coordination les équipes SI ou techniques de La Poste et les partenaires externesGarantir l’efficience opérationnelle et la satisfaction client : Est force de proposition sur la mise en place d’outils dédiés basés sur des technologies innovantesIdentifie les impacts clients ou impacts pour la Poste des écarts ou des situations spécifiques rencontréesLance les plans d’actions en partenariat avec les équipes de la DOI, des opérations et des partenaires du transportAssurer la veille règlementaire sur la Data : Est porteur du changement des normes et règlementations pour La Poste Accompagne les parties prenantes et s’assure de la faisabilité et de la compréhension des enjeux techniquesParticipe aux instances internationales

Diplômé d'un Bac + 5 ""DATA"", vous possédez une expérience de 5 années dans la logistique ou les SI associée idéalement à une expérience en management de projet.",€45K - €55K (Employer est.),10000+ Employees,Company - Private,Financial Services,Banking & Lending,1991,$10+ billion (USD),3.6
208,"INFORMATIS
3.0",Analyste DATA,Nogent-sur-Seine,"INFORMATIS-TS recrute un Analyste DATA. Intégré au service It et encadré par son responsable, vous êtes en charge de :
Vos missions :
Préparation d’un plan de travail de correction des données
Recueillir toutes les données statiques pour L’ERP de l’entreprise
Saisir, mettre à jour, vérifier la cohérence, contrôler la qualité des données
Catégoriser les données afin de les exploiter au mieux
Créer et mettre à jour des manuels de gestion de données
Participer à la création d'un système d'analyse de la qualité des données
Analyser des données simples existantes et rechercher des écarts de données",€45K - €55K (Employer est.),10000+ Employees,Company - Private,-1,-1,1971,$25 to $100 million (USD),3.0
209,"Numberly
4.1",Data Analyst Programmatique,Paris,"Description de l'entreprise

L'histoire de Numberly commence en 2000, puis c'est l'entrée en bourse, beaucoup d'investissements tech et R&D, quelques acquisitions, une croissance à deux chiffres, et nous voici.
Marketing Technologist, Numberly est un des acteurs phares du Data Marketing en Europe. Numberly allie passion pour la technologie et goût d’un marketing responsable qui protège la vie privée des consommateurs, tout en aidant les marques à être plus efficaces dans leur compréhension et activation grâce à la maîtrise de la donnée.
Aujourd'hui, nous sommes une équipe soudée de 500 talents accompagnant de grands groupes français et internationaux dans plus de 50 pays.",€45K - €55K (Employer est.),201 to 500 Employees,Company - Public,Media & Communication,Advertising & Public Relations,2000,$25 to $100 million (USD),4.1
210,"Publicis Sapient
3.7",Data Scientist - Senior Manager (H/F),Paris,"Company Description

As a digital business transformation partner, we’ve spent nearly three decades utilizing the disruptive power of technology and ingenuity to help digitally enable our clients' business in their pursuit of next. Always through radical customer centricity and an outside-in mindset. We’ve built a history of digital firsts…
we helped a bank launch the world’s first Internet Banking Offering
enabled an Airline to become the first to allow online check-in and seat selection
launched the first online share Trading Platform
created the first secure transaction for money online
We bring a startup mindset and agile methods to both established companies and the public sector to unlock value in ways that delight their customers and improve their operational effectiveness. Our approach to transformation is built from outside-in, challenging conventions and uniquely fusing of strategy and consulting, experience, data science and engineering with an enduring culture of creative problem-solving.",€45K - €55K (Employer est.),10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1990,Unknown / Non-Applicable,3.7
211,"TotalEnergies
3.9",Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,"Systèmes d'Information, Recherche Innovation&Développt
PAU-CSTJF(FRA)
France
Description du poste
Vous êtes jeune diplômé(e) ?
Débutez votre carrière par une expérience stimulante au cœur d’équipes internationales, engagées dans la transition énergétique !
Nous recherchons pour une durée de 12 mois au CSTJF à PAU (64), un Data Scientist débutant H/F, pour travailler sur la Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle.
Nous vous proposons un Contrat de Professionnalisation Temps Plein qualifiant de 12 mois (100% en entreprise) incluant 15% de formation interne (métier, linguistique, outils…) dispensée par des organismes sélectionnés par TotalEnergies.
Ce contrat vous permettra d’acquérir une année d’expérience professionnelle tout en étant formé aux spécificités de votre métier en lien avec les activités de la Compagnie. Un réel atout pour booster votre employabilité !

Pour en savoir plus : https://www.cstjf-pau.total/fr",€45K - €55K (Employer est.),10000+ Employees,Company - Public,"Energy, Mining & Utilities",Energy & Utilities,1924,$25 to $100 million (USD),3.9
212,"Damart
3.8",Data analyst junior - H/F,Roubaix,"Né en 1953 d'une innovation - l'iconique Thermolactyl - Damart, est une grande marque patrimoniale française, l'une des rares à être entrée dans le langage commun: ""il fait froid, mets ton Damart!"". Notre leadership sur le marché des séniors, en plein essor, est fondé sur une double expertise: le textile intelligent, source de bien-être pour toute les générations et le prêt-à-porter, dédié aux femmes de 55 ans et plus qui recherchent le style et le confort.
Pour séduire les nouvelles générations et conquérir nos clients de demain, nos 1000 collaborateurs en France réinventent chaque jour Damart et accélèrent sa transformation: innovation textile, nouveau style et nouvelle image, transition digitale pour une shopping expérience omnicanale, conquête de nouveaux marchés à l'international ...
Implantée en France, Belgique, Angleterre et Suisse, Damart poursuit aujourd'hui son développement à l'international: Après le Japon et les USA, la marque s'implante en Espagne, Italie, Australie, Liban, Chypre...",€45K - €55K (Employer est.),501 to 1000 Employees,Unknown,Manufacturing,Consumer Product Manufacturing,-1,$100 to $500 million (USD),3.8
213,"Inetum
3.4",Data Analyst H/F,Lille,"Mission
Dans le cadre de la croissance de notre agence lilloise, nous développons notre Practice Data et recrutons des profils Data de divers horizons : Data Analyst, Data Engineer, Data Scientist et Data Gouv. Les besoins métiers de nos clients et la multitude des technologies font qu'il nous faut nous appuyer sur une diversité de compétences. Vous pourriez être l’un d’eux et rejoindre Inetum.

En tant que Data Analyst, vos principales missions consistent à :
Analyser et retranscrire le besoin client
Identifier, extraire et exploiter les sources d'acquisition de données les plus pertinentes",€45K - €55K (Employer est.),10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,1970,$1 to $5 billion (USD),3.4
214,"MJV Technology & Innovation
4.2",Data Analyst,Lille,"Vos missions

Réaliser des analyses pour répondre aux différentes demandes business
Construire, automatiser et maintenir des reportings avec nos outils BI. Apporter votre expertise à l’interprétation des rapports.
S’assurer de la cohérence et de la qualité des données utilisées pour conduire les analyses
L’accompagnement et l’acculturation sur les bonnes pratiques de l’analyse de données. Vous êtes Data Driven et contribuez à la diffusion des savoirs-faire.
Maîtrise des outils d'analytics (Looker, PowerBI, Big Query)
Vos compétences

Avantages

Poste basé à Lezennes",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,1997,Unknown / Non-Applicable,4.2
215,"Onera
4.3",CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,"Présentation ONERA
L’ONERA, acteur central de la recherche aéronautique et spatiale, emploie plus de 2000 personnes. Placé sous la tutelle du ministère des Armées, il dispose d’un budget de 266 millions d’euros (2022), dont plus de la moitié provient de contrats d'études, de recherche et d'essais. Expert étatique, l’ONERA prépare la défense de demain, répond aux enjeux aéronautiques et spatiaux du futur, et contribue à la compétitivité de l’industrie aérospatiale. Il maîtrise toutes les disciplines et technologies du domaine. Tous les grands programmes aérospatiaux civils et militaires en France et en Europe portent une part de l’ADN de l’ONERA : Ariane, Airbus, Falcon, Rafale, missiles, hélicoptères, moteurs, radars… Reconnus à l’international et souvent primés, ses chercheurs forment de nombreux doctorants.
Présentation du département
Le Département Aérodynamique, Aéroélasticité, Acoustique, DAAA de l’ONERA, a pour mission de préparer au profit de l’industrie des réponses technologiques pour améliorer les performances Aérodynamique, Aéroélastique et Acoustique des aéronefs, et répondre aux enjeux de compétitivité, aux besoins sociétaux, environnementaux et de défense.

Missions
Profil",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,1946,$100 to $500 million (USD),4.3
216,"Matmut
3.2",Data scientist F/H,Rouen,"Le Groupe Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.

Confiant et bienveillant envers ses salariés, il construit avec eux des parcours professionnels motivants. Convaincu que la diversité des potentiels est une richesse, il accompagne, forme et fait grandir tous les talents.

Nous recherchons un Data Scientist afin de valoriser les données de nos sociétaires et prospects à des fins marketing.

Rattaché(e) à la Direction Marketing Groupe, vous intégrerez la team data science d'un pôle comprenant des data analysts, data scientists et web analysts.

Dans ce cadre, vous serez amené(e) à :",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,Insurance,Insurance Agencies & Brokerages,1961,Unknown / Non-Applicable,3.2
217,"Inetum
3.4",Data Analyst SAS / Hadoop H/F,Brest,"Mission
En recherche d’un nouveau challenge en tant que Data Analyst Sas / Hadoop ?

Au sein d’une équipe Inetum, vous intervenez chez un client reconnu dans le domaine bancaire à Brest, sur des projets structurants.
La mission consiste à:
La création de requêtes SAS ou Hadoop pour les différents services du client,
L’extraction réalisée directement sur le host de production afin d’obtenir les données les plus récentes possibles,",€45K - €55K (Employer est.),10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,1970,$1 to $5 billion (USD),3.4
218,"GROUPE LIMAGRAIN
4.1",Data Analyst (H/F),Saint-Beauzire,"Famille de métier
FONCTIONS SUPPORT - SI
Type de contrat
CDI
Finalité du poste
Le projet ?
Au sein de Limagrain IT, vous pilotez et traitez les sujets liés au décisionnel (création et alimentation de datawarehouses et de la couche sémantique associée, production de rapports, de dashboards, d'indicateurs de pilotage et de suivi, création de datasets métiers,…) depuis le recueil des besoins jusqu'à leur délivrance en passant par les phases d'analyse, chiffrage, réalisation, lancement et conduite du changement.",€45K - €55K (Employer est.),5001 to 10000 Employees,Company - Private,Agriculture,Crop Production,1965,$1 to $5 billion (USD),4.1
219,"Le Groupe La Poste
3.6",Data Analyst chargé d'études stratégiques,Paris,"La Poste Groupe change, nos métiers évoluent.
Etre toujours au plus près des Français, développer la confiance dans le numérique et être acteur de la transformation écologique, c'est aussi le sens de notre métier.
Chaque jour, sur l'ensemble du territoire, nos 250 000 collaborateurs imaginent les services de demain.
Rejoindre La Poste Groupe, c'est rejoindre une entreprise responsable !
Vous aussi, engagez-vous à nos côtés pour donner du sens à votre métier.

Assister l’équipe de coordination stratégique pour la réalisation d'études, sur 3 sujets principaux : 1) Travaux d'analyse et de prévision d’activité des points de contact du Réseau : - Appropriation de l’utilisation du Système d’Information dédié- Réalisation de requêtes, extraction des données et analyse- Exploitation de l’outil de prévision informatique et production de scénarios d’activité pluriannuels- Mise en forme des résultats et réalisationde supports de présentation (notes, rapports, diaporamas PPT)2) Performance commerciale du réseau commercial : - Appropriation des Systèmes d’Information exploitables et desdonnées disponibles- Réalisation seul ou en collaboration, d’études d’évaluation deperformance des activités commerciales (collecte des données, analyse et production de supports)3) Etudes ponctuelles thématiques de type benchmarks : - Recherche documentaire on-line/off-line- Analyse des données et rédaction de supports de présentation (notes, rapports).

Bac+4 ou +5Analyse et synthèse, expression écrite et orale, business design, maîtrise de l'anglais, pack office (EXCEL notamment).

Bac+4 ou +5Analyse et synthèse, expression écrite et orale, business design, maîtrise de l'anglais, pack office (EXCEL notamment).Rigueur, curiosité, créativité.",€45K - €55K (Employer est.),10000+ Employees,Company - Private,Financial Services,Banking & Lending,1991,$10+ billion (USD),3.6
220,"LIMAGRAIN EUROPE SAS
4.1",Analyste de données en sélection Maïs (H/F),Ennezat,"Famille de métier
RECHERCHE ET INNOVATION - SELECTION VARIETALE
Type de contrat
CDD
Durée du contrat
12 mois
Temps de travail",€45K - €55K (Employer est.),5001 to 10000 Employees,Company - Private,Agriculture,Crop Production,1965,$1 to $5 billion (USD),4.1
221,"CS GROUP
3.6",Chef de projet / Coordinateur Data Science - F/H,Toulouse,"Description de l'entreprise

La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L’expertise reconnue du groupe lui permet d’intervenir là où les enjeux sont les plus critiques : aéronautique, défense, énergie, spatial. Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité…
Notre esprit Tech et pragmatique, ainsi que notre agilité d’ETI nous permettent d’allier proximité, engagement et innovation, pour diffuser notre culture à tous les niveaux : dans la relation client, dans le mode de management interne, dans notre engagement social et environnemental…
Et bien sûr, dans le développement de votre carrière, notre ambition est de faire de vous un collaborateur accompli : formations, revue de carrière, mobilité, programme ambassadeur…",€45K - €55K (Employer est.),1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,1968,$100 to $500 million (USD),3.6
222,"Cognira
4.3",Junior Data Scientist,Lille,"About us:
At Cognira, we strongly believe that people are the biggest asset of our company.
Our hand-picked team consists of passionate, collaborative, and forward-thinking individuals from all over the globe.
Our industry-leading PromoAI Solution leverages data science and AI to effectively manage the entire end-to-end promotion lifecycle in a single tool, allowing retailers to effectively plan, optimize, and analyze all types of promotions.
For the last three years in a row, Cognira has been recognized as one of the fastest-growing companies in North America. We are proud to have a growing team of domain experts and data scientists, as well as a culture that fosters strong and long-lasting relationships with our clients.",€45K - €55K (Employer est.),51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2015,Unknown / Non-Applicable,4.3
223,"Numberly
4.1",Data Scientist,Paris,"Company Description

Numberly puts technology to work for brands and is at the heart of business growth and consumers' desire for more responsible and relevant marketing: we help our clients better understand their consumers by building systems to collect, analyse and activate data.
To do this, we are over 500 talents divided into autonomous teams.
We aspire to have everyone develop a positive influence, be proactive, and challenge our technical and organisational choices.

Job Description

We are looking for a data scientist to work on innovative projects in the field of digital marketing.",€45K - €55K (Employer est.),201 to 500 Employees,Company - Public,Media & Communication,Advertising & Public Relations,2000,$25 to $100 million (USD),4.1
